time	xpos	ypos	zpos	theta	grid	en	ext	f1	f2	fil	x1	x2	y1	y2	6485s	6487s	6487v	gm2dw	gm2ll	gm2ul	gm1dw	gm1ll	gm1ul	va	vb	dummy	gm2	gm1	6485c	6487c
																														
3730988985	-5	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-1.22E-10	0.00E+00
3730988986	-4.9005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-1.29E-10	0.00E+00
3730988988	-4.8005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-1.39E-10	0.00E+00
3730988989	-4.7005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-1.48E-10	0.00E+00
3730988990	-4.6005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-1.56E-10	0.00E+00
3730988992	-4.5005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-1.64E-10	0.00E+00
3730988993	-4.4005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-1.72E-10	0.00E+00
3730988994	-4.3005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-1.84E-10	0.00E+00
3730988996	-4.2005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-2.01E-10	0.00E+00
3730988997	-4.1005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-2.24E-10	0.00E+00
3730988998	-4.0005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-2.54E-10	0.00E+00
3730989000	-3.9005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-2.77E-10	0.00E+00
3730989001	-3.8005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-2.94E-10	0.00E+00
3730989003	-3.7005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-3.09E-10	0.00E+00
3730989004	-3.6005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-3.25E-10	0.00E+00
3730989005	-3.5005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-3.37E-10	0.00E+00
3730989007	-3.4005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-3.47E-10	0.00E+00
3730989008	-3.3005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-3.61E-10	0.00E+00
3730989009	-3.2005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-3.83E-10	0.00E+00
3730989011	-3.1005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-4.07E-10	0.00E+00
3730989012	-3.0005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-4.33E-10	0.00E+00
3730989013	-2.9005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-4.63E-10	0.00E+00
3730989015	-2.8005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-4.98E-10	0.00E+00
3730989016	-2.7005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-5.35E-10	0.00E+00
3730989017	-2.6005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-5.75E-10	0.00E+00
3730989019	-2.5005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-6.18E-10	0.00E+00
3730989020	-2.4005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-6.69E-10	0.00E+00
3730989021	-2.3005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-7.23E-10	0.00E+00
3730989023	-2.2005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-7.92E-10	0.00E+00
3730989024	-2.1005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-8.88E-10	0.00E+00
3730989025	-2.0005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-1.05E-09	0.00E+00
3730989027	-1.9005	49.9905	1.11	0	-15	15	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	-1.36E-09	0.00E+00
