#time,xpos,ypos,zpos,theta,grid,en,ext,f1,f2,fil,x1,x2,y1,y2,6485s,6487s,6487v,gm2dw,gm2ll,gm2ul,gm1dw,gm1ll,gm1ul,va,vb,dummy,gm2,gm1,6485c,6487c
3731087294.63201,0,-0.0095,-1.5,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-1.875236E-08,-4.709691E-06
3731087296.8811,0.1995,-0.0095,-1.5,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-2.13382E-08,-4.709691E-06
3731087298.35817,0.3995,-0.0095,-1.5,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-2.438668E-08,-4.709691E-06
3731087299.83597,0.5995,-0.0095,-1.5,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-2.88601E-08,-4.709691E-06
3731087301.31065,0.7995,-0.0095,-1.5,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-3.715802E-08,-4.709691E-06
3731087302.79098,0.9995,-0.0095,-1.5,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-5.278558E-08,-4.709691E-06
3731087304.27214,1.1995,-0.0095,-1.5,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-7.881319E-08,-4.709691E-06
3731087305.74938,1.3995,-0.0095,-1.5,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-1.128335E-07,-4.709691E-06
3731087307.2213,1.5995,-0.0095,-1.5,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-1.476386E-07,-4.709691E-06
3731087308.69975,1.7995,-0.0095,-1.5,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-1.759208E-07,-4.709691E-06
3731087310.17681,1.9995,-0.0095,-1.5,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-1.928554E-07,-4.709691E-06
3731087311.64326,2.1995,-0.0095,-1.5,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-1.963055E-07,-4.709691E-06
3731087313.11101,2.3995,-0.0095,-1.5,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-1.861195E-07,-4.709691E-06
3731087314.58007,2.5995,-0.0095,-1.5,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-1.652658E-07,-4.709691E-06
3731087316.04813,2.7995,-0.0095,-1.5,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-1.363291E-07,-4.709691E-06
3731087317.50996,2.9995,-0.0095,-1.5,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-1.039141E-07,-4.709691E-06
3731087318.98078,3.1995,-0.0095,-1.5,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-7.259879E-08,-4.709691E-06
3731087320.45156,3.3995,-0.0095,-1.5,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-4.91144E-08,-4.709691E-06
3731087321.92046,3.5995,-0.0095,-1.5,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-3.450119E-08,-4.709691E-06
3731087323.39641,3.7995,-0.0095,-1.5,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-2.68301E-08,-4.709691E-06
3731087324.86708,3.9995,-0.0095,-1.5,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-2.281386E-08,-4.709691E-06
3731087329.10679,0,-0.0095,-1.305,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-2.149449E-08,-4.709691E-06
3731087330.58633,0.1995,-0.0095,-1.305,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-2.506843E-08,-4.709691E-06
3731087332.05954,0.3995,-0.0095,-1.305,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-3.066315E-08,-4.709691E-06
3731087333.53161,0.5995,-0.0095,-1.305,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-4.283265E-08,-4.709691E-06
3731087335.00548,0.7995,-0.0095,-1.305,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-6.811744E-08,-4.709691E-06
3731087336.47842,0.9995,-0.0095,-1.305,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-1.110189E-07,-4.709691E-06
3731087337.95831,1.1995,-0.0095,-1.305,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-1.721645E-07,-4.709691E-06
3731087340.20577,1.3995,-0.0095,-1.305,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-2.403544E-07,-4.709691E-06
3731087341.68145,1.5995,-0.0095,-1.305,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-3.035375E-07,-4.709691E-06
3731087343.15837,1.7995,-0.0095,-1.305,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-3.510446E-07,-4.709691E-06
3731087344.64338,1.9995,-0.0095,-1.305,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-3.756898E-07,-4.709691E-06
3731087346.12748,2.1995,-0.0095,-1.305,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-3.778837E-07,-4.709691E-06
3731087347.60856,2.3995,-0.0095,-1.305,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-3.579752E-07,-4.709691E-06
3731087349.08838,2.5995,-0.0095,-1.305,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-3.166624E-07,-4.709691E-06
3731087350.56612,2.7995,-0.0095,-1.305,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-2.615211E-07,-4.709691E-06
3731087352.45668,2.9995,-0.0095,-1.305,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-2.001636E-07,-4.709691E-06
3731087353.93066,3.1995,-0.0095,-1.305,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-1.383825E-07,-4.709691E-06
3731087355.39794,3.3995,-0.0095,-1.305,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-8.79752E-08,-4.709691E-06
3731087356.86499,3.5995,-0.0095,-1.305,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-5.349024E-08,-4.709691E-06
3731087358.34151,3.7995,-0.0095,-1.305,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-3.485994E-08,-4.709691E-06
3731087359.81039,3.9995,-0.0095,-1.305,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-2.618862E-08,-4.709691E-06
3731087364.02566,0,-0.0095,-1.105,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-2.4587E-08,-4.709691E-06
3731087365.49172,0.1995,-0.0095,-1.105,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-3.028561E-08,-4.709691E-06
3731087366.96209,0.3995,-0.0095,-1.105,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-4.333431E-08,-4.709691E-06
3731087368.4299,0.5995,-0.0095,-1.105,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-7.48444E-08,-4.709691E-06
3731087369.90103,0.7995,-0.0095,-1.105,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-1.335291E-07,-4.709691E-06
3731087372.14732,0.9995,-0.0095,-1.105,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-2.200339E-07,-4.709691E-06
3731087373.62387,1.1995,-0.0095,-1.105,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-3.269893E-07,-4.709691E-06
3731087375.10867,1.3995,-0.0095,-1.105,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-4.34389E-07,-4.709691E-06
3731087376.57881,1.5995,-0.0095,-1.105,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-5.266499E-07,-4.709691E-06
3731087378.05451,1.7995,-0.0095,-1.105,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-5.936358E-07,-4.709691E-06
3731087379.52643,1.9995,-0.0095,-1.105,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-6.320573E-07,-4.709691E-06
3731087381.00275,2.1995,-0.0095,-1.105,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-6.38123E-07,-4.709691E-06
3731087382.47703,2.3995,-0.0095,-1.105,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-6.103168E-07,-4.709691E-06
3731087383.94993,2.5995,-0.0095,-1.105,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-5.458004E-07,-4.709691E-06
3731087385.42839,2.7995,-0.0095,-1.105,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-4.578511E-07,-4.709691E-06
3731087386.90097,2.9995,-0.0095,-1.105,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-3.603704E-07,-4.709691E-06
3731087388.37087,3.1995,-0.0095,-1.105,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-2.551297E-07,-4.709691E-06
3731087390.2657,3.3995,-0.0095,-1.105,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-1.648607E-07,-4.709691E-06
3731087391.73546,3.5995,-0.0095,-1.105,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-9.650299E-08,-4.709691E-06
3731087393.21547,3.7995,-0.0095,-1.105,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-5.436768E-08,-4.709691E-06
3731087394.69774,3.9995,-0.0095,-1.105,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-3.377199E-08,-4.709691E-06
3731087398.96445,0,-0.0095,-0.905,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-2.856613E-08,-4.709691E-06
3731087400.43339,0.1995,-0.0095,-0.905,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-3.958343E-08,-4.709691E-06
3731087401.90939,0.3995,-0.0095,-0.905,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-6.947432E-08,-4.709691E-06
3731087403.38084,0.5995,-0.0095,-0.905,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-1.348469E-07,-4.709691E-06
3731087405.62724,0.7995,-0.0095,-0.905,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-2.397922E-07,-4.709691E-06
3731087407.08522,0.9995,-0.0095,-0.905,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-3.745974E-07,-4.709691E-06
3731087408.54779,1.1995,-0.0095,-0.905,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-5.26193E-07,-4.709691E-06
3731087410.00878,1.3995,-0.0095,-0.905,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-6.717607E-07,-4.709691E-06
3731087411.4727,1.5995,-0.0095,-0.905,0,-15,15,100,17,100,3.98,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,-7.940569E-07,-4.709691E-06
