#time	xpos	ypos	zpos	theta	grid	en	ext	f1	f2	fil	x1	x2	y1	y2	6485s	6487s	6487v	gm2dw	gm2ll	gm2ul	gm1dw	gm1ll	gm1ul	va	vb	dummy	gm2	gm1	6485c	6487c
3730811446	2	-0.0095	-80.14	0	-15	10	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	770	2589	-1.87E-11	-9.86E-06
3730811510	2	-0.0095	-80.14	0	-15	10.1	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	646	2344	-1.87E-11	-1.01E-05
3730811575	2	-0.0095	-80.14	0	-15	10.2	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	535	2120	-1.87E-11	-1.02E-05
3730811639	2	-0.0095	-80.14	0	-15	10.3	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	528	1933	-1.87E-11	-1.04E-05
3730811703	2	-0.0095	-80.14	0	-15	10.4	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	518	1783	-1.87E-11	-1.06E-05
3730811768	2	-0.0095	-80.14	0	-15	10.5	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	565	1683	-1.87E-11	-1.07E-05
3730811833	2	-0.0095	-80.14	0	-15	10.6	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	543	1668	-1.87E-11	-1.09E-05
3730811897	2	-0.0095	-80.14	0	-15	10.7	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	570	1577	-1.87E-11	-1.10E-05
3730811962	2	-0.0095	-80.14	0	-15	10.8	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	567	1491	-1.87E-11	-1.11E-05
3730812026	2	-0.0095	-80.14	0	-15	10.9	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	618	1469	-1.87E-11	-1.13E-05
3730812090	2	-0.0095	-80.14	0	-15	11	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	605	1497	-1.87E-11	-1.14E-05
3730812154	2	-0.0095	-80.14	0	-15	11.1	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	616	1509	-1.87E-11	-1.15E-05
3730812219	2	-0.0095	-80.14	0	-15	11.2	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	659	1614	-1.87E-11	-1.17E-05
3730812283	2	-0.0095	-80.14	0	-15	11.3	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	659	1650	-1.87E-11	-1.18E-05
3730812347	2	-0.0095	-80.14	0	-15	11.4	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	667	1649	-1.87E-11	-1.19E-05
3730812412	2	-0.0095	-80.14	0	-15	11.5	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	718	1777	-1.87E-11	-1.21E-05
3730812477	2	-0.0095	-80.14	0	-15	11.6	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	724	1928	-1.87E-11	-1.22E-05
3730812542	2	-0.0095	-80.14	0	-15	11.7	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	671	1954	-1.87E-11	-1.23E-05
3730812607	2	-0.0095	-80.14	0	-15	11.8	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	736	2013	-1.87E-11	-1.24E-05
3730812671	2	-0.0095	-80.14	0	-15	11.9	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	784	2142	-1.87E-11	-1.25E-05
3730812736	2	-0.0095	-80.14	0	-15	12	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	848	2224	-1.87E-11	-1.26E-05
3730812802	2	-0.0095	-80.14	0	-15	12.1	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	851	2293	-1.87E-11	-1.27E-05
