#time	xpos	ypos	zpos	theta	grid	en	ext	f1	f2	fil	x1	x2	y1	y2	6485s	6487s	6487v	gm2dw	gm2ll	gm2ul	gm1dw	gm1ll	gm1ul	va	vb	dummy	gm2	gm1	6485c	6487c
3731242894	2	6.5965	-82.025	2.5	-15	10	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	1824	1100	-8.77E-12	-4.80E-06
3731242959	2	6.5965	-82.025	2.5	-15	10.1	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	1511	873	-8.77E-12	-4.79E-06
3731243023	2	6.5965	-82.025	2.5	-15	10.2	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	1358	646	-8.77E-12	-4.79E-06
3731243087	2	6.5965	-82.025	2.5	-15	10.3	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	1183	599	-8.77E-12	-4.76E-06
3731243152	2	6.5965	-82.025	2.5	-15	10.4	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	1082	650	-8.77E-12	-4.74E-06
3731243216	2	6.5965	-82.025	2.5	-15	10.5	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	956	586	-8.77E-12	-4.75E-06
3731243281	2	6.5965	-82.025	2.5	-15	10.6	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	943	599	-8.77E-12	-4.73E-06
3731243345	2	6.5965	-82.025	2.5	-15	10.7	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	948	633	-8.77E-12	-4.71E-06
3731243409	2	6.5965	-82.025	2.5	-15	10.8	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	892	654	-8.77E-12	-4.68E-06
3731243474	2	6.5965	-82.025	2.5	-15	10.9	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	921	648	-8.77E-12	-4.67E-06
3731243538	2	6.5965	-82.025	2.5	-15	11	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	853	676	-8.77E-12	-4.68E-06
3731243602	2	6.5965	-82.025	2.5	-15	11.1	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	891	731	-8.77E-12	-4.67E-06
3731243666	2	6.5965	-82.025	2.5	-15	11.2	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	874	779	-8.77E-12	-4.67E-06
3731243730	2	6.5965	-82.025	2.5	-15	11.3	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	918	810	-8.77E-12	-4.65E-06
3731243795	2	6.5965	-82.025	2.5	-15	11.4	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	868	805	-8.77E-12	-4.63E-06
3731243859	2	6.5965	-82.025	2.5	-15	11.5	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	894	792	-8.77E-12	-4.65E-06
3731243923	2	6.5965	-82.025	2.5	-15	11.6	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	960	951	-8.77E-12	-4.64E-06
3731243987	2	6.5965	-82.025	2.5	-15	11.7	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	892	892	-8.77E-12	-4.64E-06
3731244051	2	6.5965	-82.025	2.5	-15	11.8	100	17	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	978	978	-8.77E-12	-4.63E-06
