#time	xpos	ypos	zpos	theta	grid	en	ext	f1	f2	fil	x1	x2	y1	y2	6485s	6487s	6487v	gm2dw	gm2ll	gm2ul	gm1dw	gm1ll	gm1ul	va	vb	dummy	gm2	gm1	6485c	6487c
3731845751	5.8995	-0.0095	-81.5	-10	-15	10	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	210	482	-3.96E-12	-2.54E-06
3731845814	5.8995	-0.0095	-81.5	-10	-15	10.1	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	172	185	-3.96E-12	-2.54E-06
3731845879	5.8995	-0.0095	-81.5	-10	-15	10.2	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	175	181	-3.96E-12	-2.54E-06
3731845943	5.8995	-0.0095	-81.5	-10	-15	10.3	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	150	181	-3.96E-12	-2.53E-06
3731846006	5.8995	-0.0095	-81.5	-10	-15	10.4	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	186	180	-3.96E-12	-2.53E-06
3731846071	5.8995	-0.0095	-81.5	-10	-15	10.5	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	190	165	-3.96E-12	-2.53E-06
3731846135	5.8995	-0.0095	-81.5	-10	-15	10.6	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	145	197	-3.96E-12	-2.53E-06
3731846199	5.8995	-0.0095	-81.5	-10	-15	10.7	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	145	162	-3.96E-12	-2.53E-06
3731846263	5.8995	-0.0095	-81.5	-10	-15	10.8	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	151	185	-3.96E-12	-2.53E-06
3731846328	5.8995	-0.0095	-81.5	-10	-15	10.9	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	147	175	-3.96E-12	-2.53E-06
3731846391	5.8995	-0.0095	-81.5	-10	-15	11	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	166	155	-3.96E-12	-2.52E-06
3731846456	5.8995	-0.0095	-81.5	-10	-15	11.1	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	152	163	-3.96E-12	-2.52E-06
3731846519	5.8995	-0.0095	-81.5	-10	-15	11.2	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	177	154	-3.96E-12	-2.52E-06
