#time	xpos	ypos	zpos	theta	grid	en	ext	f1	f2	fil	x1	x2	y1	y2	6485s	6487s	6487v	gm2dw	gm2ll	gm2ul	gm1dw	gm1ll	gm1ul	va	vb	dummy	gm2	gm1	6485c	6487c
3731697648	5.8995	-0.0095	-81.5	-2.5	-15	10	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	392	488	-3.86E-12	-2.42E-06
3731697712	5.8995	-0.0095	-81.5	-2.5	-15	10.1	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	343	490	-3.86E-12	-2.41E-06
3731697776	5.8995	-0.0095	-81.5	-2.5	-15	10.2	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	349	466	-3.86E-12	-2.41E-06
3731697838	5.8995	-0.0095	-81.5	-2.5	-15	10.3	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	346	458	-3.86E-12	-2.41E-06
3731697903	5.8995	-0.0095	-81.5	-2.5	-15	10.4	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	319	418	-3.86E-12	-2.41E-06
3731697967	5.8995	-0.0095	-81.5	-2.5	-15	10.5	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	258	472	-3.86E-12	-2.41E-06
3731698031	5.8995	-0.0095	-81.5	-2.5	-15	10.6	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	284	420	-3.86E-12	-2.41E-06
3731698095	5.8995	-0.0095	-81.5	-2.5	-15	10.7	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	286	452	-3.86E-12	-2.40E-06
3731698159	5.8995	-0.0095	-81.5	-2.5	-15	10.8	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	293	413	-3.86E-12	-2.40E-06
3731698223	5.8995	-0.0095	-81.5	-2.5	-15	10.9	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	248	374	-3.86E-12	-2.40E-06
3731698287	5.8995	-0.0095	-81.5	-2.5	-15	11	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	258	437	-3.86E-12	-2.40E-06
3731698350	5.8995	-0.0095	-81.5	-2.5	-15	11.1	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	282	352	-3.86E-12	-2.39E-06
3731698414	5.8995	-0.0095	-81.5	-2.5	-15	11.2	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	273	388	-3.86E-12	-2.40E-06
3731698477	5.8995	-0.0095	-81.5	-2.5	-15	11.3	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	259	413	-3.86E-12	-2.40E-06
3731698540	5.8995	-0.0095	-81.5	-2.5	-15	11.4	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	281	374	-3.86E-12	-2.39E-06
3731698604	5.8995	-0.0095	-81.5	-2.5	-15	11.5	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	241	422	-3.86E-12	-2.39E-06
3731698667	5.8995	-0.0095	-81.5	-2.5	-15	11.6	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	250	342	-3.86E-12	-2.39E-06
3731698732	5.8995	-0.0095	-81.5	-2.5	-15	11.7	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	255	368	-3.86E-12	-2.39E-06
3731698797	5.8995	-0.0095	-81.5	-2.5	-15	11.8	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	281	381	-3.86E-12	-2.38E-06
3731698862	5.8995	-0.0095	-81.5	-2.5	-15	11.9	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	277	377	-3.86E-12	-2.38E-06
3731698926	5.8995	-0.0095	-81.5	-2.5	-15	12	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	272	365	-3.86E-12	-2.39E-06
3731698989	5.8995	-0.0095	-81.5	-2.5	-15	12.1	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	289	384	-3.86E-12	-2.39E-06
3731699054	5.8995	-0.0095	-81.5	-2.5	-15	12.2	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	312	403	-3.86E-12	-2.38E-06
3731699118	5.8995	-0.0095	-81.5	-2.5	-15	12.3	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	263	392	-3.86E-12	-2.38E-06
3731699182	5.8995	-0.0095	-81.5	-2.5	-15	12.4	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	322	367	-3.86E-12	-2.38E-06
