#time	xpos	ypos	zpos	theta	grid	en	ext	f1	f2	fil	x1	x2	y1	y2	6485s	6487s	6487v	gm2dw	gm2ll	gm2ul	gm1dw	gm1ll	gm1ul	va	vb	dummy	gm2	gm1	6485c	6487c
3731938926	5.8995	-0.0095	-81.5	-8	-15	10	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	147	152	-3.84E-12	-2.52E-06
3731938991	5.8995	-0.0095	-81.5	-8	-15	10.01	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	166	164	-3.84E-12	-2.52E-06
3731939054	5.8995	-0.0095	-81.5	-8	-15	10.02	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	172	151	-3.84E-12	-2.53E-06
3731939116	5.8995	-0.0095	-81.5	-8	-15	10.03	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	172	136	-3.84E-12	-2.53E-06
3731939180	5.8995	-0.0095	-81.5	-8	-15	10.04	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	147	140	-3.84E-12	-2.52E-06
3731939243	5.8995	-0.0095	-81.5	-8	-15	10.05	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	171	136	-3.84E-12	-2.52E-06
3731939307	5.8995	-0.0095	-81.5	-8	-15	10.06	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	170	182	-3.84E-12	-2.52E-06
3731939369	5.8995	-0.0095	-81.5	-8	-15	10.07	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	152	149	-3.84E-12	-2.53E-06
3731939434	5.8995	-0.0095	-81.5	-8	-15	10.08	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	150	172	-3.84E-12	-2.52E-06
3731939499	5.8995	-0.0095	-81.5	-8	-15	10.09	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	145	131	-3.84E-12	-2.52E-06
3731939563	5.8995	-0.0095	-81.5	-8	-15	10.1	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	132	135	-3.84E-12	-2.52E-06
3731939626	5.8995	-0.0095	-81.5	-8	-15	10.11	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	150	176	-3.84E-12	-2.52E-06
3731939689	5.8995	-0.0095	-81.5	-8	-15	10.12	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	152	141	-3.84E-12	-2.52E-06
3731939756	5.8995	-0.0095	-81.5	-8	-15	10.13	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	153	123	-3.84E-12	-2.52E-06
3731939819	5.8995	-0.0095	-81.5	-8	-15	10.14	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	168	123	-3.84E-12	-2.52E-06
3731939883	5.8995	-0.0095	-81.5	-8	-15	10.15	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	149	134	-3.84E-12	-2.52E-06
3731939945	5.8995	-0.0095	-81.5	-8	-15	10.16	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	133	132	-3.84E-12	-2.52E-06
3731940010	5.8995	-0.0095	-81.5	-8	-15	10.17	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	144	143	-3.84E-12	-2.53E-06
3731940074	5.8995	-0.0095	-81.5	-8	-15	10.18	100	18	100	3.98	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	149	146	-3.84E-12	-2.52E-06
