#BeamwidthEn15Ext100Fil4.80G-13F18F2-9_02.dat
#3/9/2022 1:22:32 PM
#X (mm)
#From -20 To -2 By 0.2
#Measure 6485c
#90 points
#Timestamp (sec)	X (mm)	Y (mm)	Z (mm)	Theta (deg)	EG Grid (V)	EG Energy (eV)	EG Extraction (V)	EG Focus 1 (V)	EG Focus 2 (V)	EG Filament (V)	EG X1 Alignment (V)	EG X2 Alignment (V)	EG Y1 Alignment (V)	EG Y2 Alignment (V)	6485 Samples	6487 Samples	6487 Voltage (V)	GM2 Dwell Time (s)	GM2 SCA Lower Limit (V)	GM2 SCA Upper Limit (V)	GM1 Dwell Time (s)	GM1 SCA Lower Limit (V)	GM1 SCA Upper Limit (V)	Voltage Supply A (V)	Voltage Supply B (V)	Dummy	GM2 Counts	GM1 Counts	Keithley6485 Current (A)	Keithley6487 Current (A)
#time	xpos	ypos	zpos	theta	grid	en	ext	f1	f2	fil	x1	x2	y1	y2	6485s	6487s	6487v	gm2dw	gm2ll	gm2ul	gm1dw	gm1ll	gm1ul	va	vb	dummy	gm2	gm1	6485c	6487c
3729694961.237145	-20.000500	-0.000500	-1.000000	-4.020000	-13.400000	15.000000	100.000000	8.000000	-9.000000	4.780000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.554955E-7	-2.563129E-5
3729694963.145839	-19.801000	-0.000500	-1.000000	-4.020000	-13.400000	15.000000	100.000000	8.000000	-9.000000	4.780000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.664343E-7	-2.563129E-5
3729694965.035785	-19.601000	-0.000500	-1.000000	-4.020000	-13.400000	15.000000	100.000000	8.000000	-9.000000	4.780000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.770688E-7	-2.563129E-5
3729694966.911069	-19.401000	-0.000500	-1.000000	-4.020000	-13.400000	15.000000	100.000000	8.000000	-9.000000	4.780000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.870260E-7	-2.563129E-5
3729694968.776334	-19.201000	-0.000500	-1.000000	-4.020000	-13.400000	15.000000	100.000000	8.000000	-9.000000	4.780000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.962353E-7	-2.563129E-5
3729694970.644938	-19.001000	-0.000500	-1.000000	-4.020000	-13.400000	15.000000	100.000000	8.000000	-9.000000	4.780000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.037553E-7	-2.563129E-5
3729694972.506859	-18.801000	-0.000500	-1.000000	-4.020000	-13.400000	15.000000	100.000000	8.000000	-9.000000	4.780000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.092361E-7	-2.563129E-5
3729694974.370571	-18.601000	-0.000500	-1.000000	-4.020000	-13.400000	15.000000	100.000000	8.000000	-9.000000	4.780000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.125719E-7	-2.563129E-5
3729694976.241361	-18.401000	-0.000500	-1.000000	-4.020000	-13.400000	15.000000	100.000000	8.000000	-9.000000	4.780000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.138564E-7	-2.563129E-5
3729694978.106257	-18.201000	-0.000500	-1.000000	-4.020000	-13.400000	15.000000	100.000000	8.000000	-9.000000	4.780000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.133323E-7	-2.563129E-5
3729694979.977561	-18.001000	-0.000500	-1.000000	-4.020000	-13.400000	15.000000	100.000000	8.000000	-9.000000	4.780000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.113092E-7	-2.563129E-5
3729694981.847988	-17.801000	-0.000500	-1.000000	-4.020000	-13.400000	15.000000	100.000000	8.000000	-9.000000	4.780000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.084539E-7	-2.563129E-5
3729694983.718457	-17.601000	-0.000500	-1.000000	-4.020000	-13.400000	15.000000	100.000000	8.000000	-9.000000	4.780000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.052395E-7	-2.563129E-5
3729694985.586684	-17.401000	-0.000500	-1.000000	-4.020000	-13.400000	15.000000	100.000000	8.000000	-9.000000	4.780000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.021800E-7	-2.563129E-5
3729694987.459274	-17.201000	-0.000500	-1.000000	-4.020000	-13.400000	15.000000	100.000000	8.000000	-9.000000	4.780000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.994166E-7	-2.563129E-5
3729694989.328410	-17.001000	-0.000500	-1.000000	-4.020000	-13.400000	15.000000	100.000000	8.000000	-9.000000	4.780000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.971182E-7	-2.563129E-5
3729694991.196944	-16.801000	-0.000500	-1.000000	-4.020000	-13.400000	15.000000	100.000000	8.000000	-9.000000	4.780000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.953063E-7	-2.563129E-5
3729694993.058659	-16.601000	-0.000500	-1.000000	-4.020000	-13.400000	15.000000	100.000000	8.000000	-9.000000	4.780000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.939054E-7	-2.563129E-5
3729694994.924530	-16.401000	-0.000500	-1.000000	-4.020000	-13.400000	15.000000	100.000000	8.000000	-9.000000	4.780000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.928246E-7	-2.563129E-5
3729694996.786621	-16.200500	-0.000500	-1.000000	-4.020000	-13.400000	15.000000	100.000000	8.000000	-9.000000	4.780000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.921347E-7	-2.563129E-5
3729694998.646173	-16.000500	-0.000500	-1.000000	-4.020000	-13.400000	15.000000	100.000000	8.000000	-9.000000	4.780000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.917632E-7	-2.563129E-5
3729695000.514791	-15.801000	-0.000500	-1.000000	-4.020000	-13.400000	15.000000	100.000000	8.000000	-9.000000	4.780000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.916245E-7	-2.563129E-5
3729695002.382787	-15.601000	-0.000500	-1.000000	-4.020000	-13.400000	15.000000	100.000000	8.000000	-9.000000	4.780000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.917320E-7	-2.563129E-5
