#En15Fil4Ext100F10F2100G0_08.dat
#3/11/2022 5:40:09 PM
#X (mm)
#From -21 To 1 By 0.1
#Measure 6485c
#221 points
#Timestamp (sec)	X (mm)	Y (mm)	Z (mm)	Theta (deg)	EG Grid (V)	EG Energy (eV)	EG Extraction (V)	EG Focus 1 (V)	EG Focus 2 (V)	EG Filament (V)	EG X1 Alignment (V)	EG X2 Alignment (V)	EG Y1 Alignment (V)	EG Y2 Alignment (V)	6485 Samples	6487 Samples	6487 Voltage (V)	GM2 Dwell Time (s)	GM2 SCA Lower Limit (V)	GM2 SCA Upper Limit (V)	GM1 Dwell Time (s)	GM1 SCA Lower Limit (V)	GM1 SCA Upper Limit (V)	Voltage Supply A (V)	Voltage Supply B (V)	Dummy	GM2 Counts	GM1 Counts	Keithley6485 Current (A)	Keithley6487 Current (A)
#time	xpos	ypos	zpos	theta	grid	en	ext	f1	f2	fil	x1	x2	y1	y2	6485s	6487s	6487v	gm2dw	gm2ll	gm2ul	gm1dw	gm1ll	gm1ul	va	vb	dummy	gm2	gm1	6485c	6487c
3729883222.587998	-21.000500	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.943327E-10	4.169501E-7
3729883224.457614	-20.901000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-4.396134E-10	4.169501E-7
3729883226.325030	-20.801000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-4.877996E-10	4.169501E-7
3729883228.194964	-20.701000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-5.342717E-10	4.169501E-7
3729883230.067617	-20.601000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-5.845486E-10	4.169501E-7
3729883231.937774	-20.501000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-6.600363E-10	4.169501E-7
3729883233.813549	-20.401000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-7.377857E-10	4.169501E-7
3729883235.683218	-20.301000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-8.231095E-10	4.169501E-7
3729883237.554584	-20.201000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-9.041055E-10	4.169501E-7
3729883239.428342	-20.101000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.030896E-9	4.169501E-7
3729883241.299648	-20.001000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.148774E-9	4.169501E-7
3729883243.169578	-19.901000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.280036E-9	4.169501E-7
3729883245.048858	-19.801000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.420761E-9	4.169501E-7
3729883246.923319	-19.701000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.603121E-9	4.169501E-7
3729883248.801962	-19.601000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.805421E-9	4.169501E-7
3729883250.681180	-19.501000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.018453E-9	4.169501E-7
3729883253.377782	-19.401000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.219883E-9	4.169501E-7
3729883255.257093	-19.301000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.563448E-9	4.169501E-7
3729883257.134602	-19.201000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.861957E-9	4.169501E-7
3729883259.009331	-19.101000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.237310E-9	4.169501E-7
3729883260.885468	-19.001000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.570715E-9	4.169501E-7
3729883262.769097	-18.901000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-4.095275E-9	4.169501E-7
3729883264.644542	-18.801000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-4.603069E-9	4.169501E-7
3729883266.520659	-18.701000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-5.146765E-9	4.169501E-7
3729883268.401398	-18.601000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-5.670777E-9	4.169501E-7
3729883270.278494	-18.501000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-6.496051E-9	4.169501E-7
3729883272.146072	-18.401000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-7.295153E-9	4.169501E-7
3729883274.014165	-18.301000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-8.225745E-9	4.169501E-7
3729883275.885905	-18.201000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-9.135287E-9	4.169501E-7
3729883277.751200	-18.101000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.044074E-8	4.169501E-7
3729883279.617674	-18.001000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.173712E-8	4.169501E-7
3729883281.487087	-17.901000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.307727E-8	4.169501E-7
3729883283.357389	-17.801000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.450851E-8	4.169501E-7
3729883285.225227	-17.701000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.652915E-8	4.169501E-7
3729883287.101910	-17.601000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.845667E-8	4.169501E-7
3729883288.975056	-17.501000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.072583E-8	4.169501E-7
3729883291.620442	-17.401000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.312616E-8	4.169501E-7
3729883293.494487	-17.301000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.611086E-8	4.169501E-7
3729883295.366993	-17.201000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.937484E-8	4.169501E-7
3729883297.247775	-17.101000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.299154E-8	4.169501E-7
3729883299.128363	-17.001000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.658376E-8	4.169501E-7
3729883301.005442	-16.900500	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	0.000000	100.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-4.108903E-8	4.169501E-7
