#En15Fil4Ext100F1100F20G0-Rescan_10.dat
#3/11/2022 5:57:40 PM
#X (mm)
#From -21 To 1 By 0.1
#Measure 6485c
#221 points
#Timestamp (sec)	X (mm)	Y (mm)	Z (mm)	Theta (deg)	EG Grid (V)	EG Energy (eV)	EG Extraction (V)	EG Focus 1 (V)	EG Focus 2 (V)	EG Filament (V)	EG X1 Alignment (V)	EG X2 Alignment (V)	EG Y1 Alignment (V)	EG Y2 Alignment (V)	6485 Samples	6487 Samples	6487 Voltage (V)	GM2 Dwell Time (s)	GM2 SCA Lower Limit (V)	GM2 SCA Upper Limit (V)	GM1 Dwell Time (s)	GM1 SCA Lower Limit (V)	GM1 SCA Upper Limit (V)	Voltage Supply A (V)	Voltage Supply B (V)	Dummy	GM2 Counts	GM1 Counts	Keithley6485 Current (A)	Keithley6487 Current (A)
#time	xpos	ypos	zpos	theta	grid	en	ext	f1	f2	fil	x1	x2	y1	y2	6485s	6487s	6487v	gm2dw	gm2ll	gm2ul	gm1dw	gm1ll	gm1ul	va	vb	dummy	gm2	gm1	6485c	6487c
3729884274.721890	-21.000500	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-7.969731E-10	-4.132902E-6
3729884276.601215	-20.901000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-8.250685E-10	-4.132902E-6
3729884278.479473	-20.801000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-8.441762E-10	-4.132902E-6
3729884280.350220	-20.701000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-8.877921E-10	-4.132902E-6
3729884282.221723	-20.601000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-9.191602E-10	-4.132902E-6
3729884284.100494	-20.501000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-9.531159E-10	-4.132902E-6
3729884285.975645	-20.401000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-9.737493E-10	-4.132902E-6
3729884287.849039	-20.301000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.025784E-9	-4.132902E-6
3729884289.722826	-20.201000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.065248E-9	-4.132902E-6
3729884291.597935	-20.101000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.105481E-9	-4.132902E-6
3729884293.484927	-20.001000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.136414E-9	-4.132902E-6
3729884295.365713	-19.901000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.188942E-9	-4.132902E-6
3729884297.251183	-19.801000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.233670E-9	-4.132902E-6
3729884299.133726	-19.701000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.280045E-9	-4.132902E-6
3729884301.014770	-19.601000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.324022E-9	-4.132902E-6
3729884302.891180	-19.501000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.377829E-9	-4.132902E-6
3729884304.766380	-19.401000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.429500E-9	-4.132902E-6
3729884306.643102	-19.301000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.482544E-9	-4.132902E-6
3729884308.520575	-19.201000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.523600E-9	-4.132902E-6
3729884310.394357	-19.101000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.602337E-9	-4.132902E-6
3729884312.268418	-19.001000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.664703E-9	-4.132902E-6
3729884314.142551	-18.901000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.722654E-9	-4.132902E-6
3729884316.020423	-18.801000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.792051E-9	-4.132902E-6
3729884317.902096	-18.701000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.862229E-9	-4.132902E-6
3729884319.785594	-18.601000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.933131E-9	-4.132902E-6
3729884321.668436	-18.501000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.997404E-9	-4.132902E-6
3729884323.543046	-18.401000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.079008E-9	-4.132902E-6
3729884326.238709	-18.301000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.175739E-9	-4.132902E-6
3729884328.113774	-18.201000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.265913E-9	-4.132902E-6
3729884329.987021	-18.101000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.345032E-9	-4.132902E-6
3729884331.857062	-18.001000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.450313E-9	-4.132902E-6
3729884333.728968	-17.901000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.558604E-9	-4.132902E-6
3729884335.602480	-17.801000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.662093E-9	-4.132902E-6
3729884337.481240	-17.701000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.754371E-9	-4.132902E-6
3729884339.361695	-17.601000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.885146E-9	-4.132902E-6
3729884341.239049	-17.501000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.010149E-9	-4.132902E-6
3729884343.119309	-17.401000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.141898E-9	-4.132902E-6
3729884344.996794	-17.301000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.274940E-9	-4.132902E-6
3729884346.883130	-17.201000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.410765E-9	-4.132902E-6
3729884348.768514	-17.101000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.591891E-9	-4.132902E-6
3729884350.647326	-17.001000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.760791E-9	-4.132902E-6
3729884352.523900	-16.900500	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.902739E-9	-4.132902E-6
3729884354.400032	-16.801000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-4.107497E-9	-4.132902E-6
3729884356.271528	-16.701000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-4.291254E-9	-4.132902E-6
3729884358.147585	-16.601000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-4.488249E-9	-4.132902E-6
3729884360.027361	-16.501000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-4.666106E-9	-4.132902E-6
3729884361.912845	-16.401000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-4.941568E-9	-4.132902E-6
3729884363.794736	-16.301000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-5.194277E-9	-4.132902E-6
3729884365.684440	-16.201000	-0.000500	-1.000000	-4.020000	0.000000	15.000000	100.000000	100.000000	0.000000	3.980000	0.000000	0.000000	0.000000	0.000000	1	1	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-5.458320E-9	-4.132902E-6
