#Cu 100 Test 3_02.dat																														
#5/4/2022 12:26:12 PM																														
#Preliminary IPES Scan																														
#Sweep En																														
"#Measure rgm, lgm, 6487"																														
#Timestamp (sec)	X (mm)	Y (mm)	Z (mm)	Theta (deg)	EG Grid (V)	EG Energy (eV)	EG Extraction (V)	EG Focus 1 (V)	EG Focus 2 (V)	EG Filament (V)	EG X1 Alignment (V)	EG X2 Alignment (V)	EG Y1 Alignment (V)	EG Y2 Alignment (V)	6485 Samples	6487 Samples	6487 Voltage (V)	GM2 Dwell Time (s)	GM2 SCA Lower Limit (V)	GM2 SCA Upper Limit (V)	GM1 Dwell Time (s)	GM1 SCA Lower Limit (V)	GM1 SCA Upper Limit (V)	Voltage Supply A (V)	Voltage Supply B (V)	Dummy	GM2 Counts	GM1 Counts	Keithley6485 Current (A)	Keithley6487 Current (A)
#time	xpos	ypos	zpos	theta	grid	en	ext	f1	f2	fil	x1	x2	y1	y2	6485s	6487s	6487v	gm2dw	gm2ll	gm2ul	gm1dw	gm1ll	gm1ul	va	vb	dummy	gm2	gm1	6485c	6487c
3734526396	-0.0005	0.0005	198.99	0	-15	0	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	68	67	3.51E-15	-4.92E-08
3734526410	-0.0005	0.0005	198.99	0	-15	0.1	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	72	80	3.51E-15	-4.61E-08
3734526425	-0.0005	0.0005	198.99	0	-15	0.2	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	67	77	3.51E-15	-5.12E-08
3734526439	-0.0005	0.0005	198.99	0	-15	0.3	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	79	51	3.51E-15	-4.82E-08
3734526454	-0.0005	0.0005	198.99	0	-15	0.4	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	77	58	3.51E-15	-5.04E-08
3734526469	-0.0005	0.0005	198.99	0	-15	0.5	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	78	57	3.51E-15	-4.88E-08
3734526482	-0.0005	0.0005	198.99	0	-15	0.6	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	64	62	3.51E-15	-4.71E-08
3734526497	-0.0005	0.0005	198.99	0	-15	0.7	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	71	53	3.51E-15	-4.76E-08
3734526510	-0.0005	0.0005	198.99	0	-15	0.8	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	65	49	3.51E-15	-5.37E-08
3734526524	-0.0005	0.0005	198.99	0	-15	0.9	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	56	60	3.51E-15	-5.33E-08
3734526539	-0.0005	0.0005	198.99	0	-15	1	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	71	51	3.51E-15	-5.27E-08
3734526554	-0.0005	0.0005	198.99	0	-15	1.1	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	63	52	3.51E-15	-4.94E-08
3734526569	-0.0005	0.0005	198.99	0	-15	1.2	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	59	58	3.51E-15	-4.49E-08
3734526584	-0.0005	0.0005	198.99	0	-15	1.3	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	63	55	3.51E-15	-5.35E-08
3734526598	-0.0005	0.0005	198.99	0	-15	1.4	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	63	45	3.51E-15	-5.43E-08
3734526611	-0.0005	0.0005	198.99	0	-15	1.5	100	17	100	4.18	0	0	0	0	1	1	0	1	1	1	1	1	1	740	740	0	62	49	3.51E-15	-5.33E-08
